Morph-lemma,Morph-inflection
guerre,guerre
soir,soir
euro,euros
voir,voir
suite,suite
pouvoir,pourrait
deuxième,deuxième
certain,certains
histoire,histoire
avec,Avec
mettre,mettre
nombre,nombre
e,e
car,car
police,police
match,match
raison,raison
mettre,mis
votre,votre
sécurité,sécurité
point,point
public,public
heure,heures
prendre,prendre
jeune,jeunes
là,là
rien,rien
avoir,aurait
question,question
chef,chef
jeune,jeune
ce,Ces
chaque,chaque
ici,ici
heure,h
famille,famille
dire,dire
région,région
lui,eux
a,A
rapport,rapport
bon,bon
janvier,janvier
pouvoir,pu
santé,santé
être,serait
mars,mars
mon,mon
national,nationale
pouvoir,peuvent
cinq,cinq
français,français
gens,gens
retour,retour
film,film
an,an
nombreux,nombreux
septembre,septembre
devoir,devrait
indiquer,indiqué
avoir,aura
juin,juin
depuis,Depuis
trop,trop
voir,vu
ancien,ancien
surtout,surtout
droit,droit
celui,ceux
joueur,joueurs
état,État
vouloir,veut
demande,demande
tête,tête
série,série
février,février
expliquer,explique
matin,matin
coup,coup
savoir,savoir
désormais,désormais
possible,possible
femme,femmes
occasion,occasion
décision,décision
octobre,octobre
dès,dès
général,général
seulement,seulement
décembre,décembre
juillet,juillet
tour,tour
celer,Cela
titre,titre
site,site
autant,autant
tant,tant
marché,marché
bon,bonne
cadre,cadre
celui,celui
crise,crise
personne,personne
sur,Sur
société,société
service,services
ligne,ligne
novembre,novembre
mieux,mieux
période,période
autorité,autorités
point,points
membre,membres
semaine,semaines
service,service
être,sommes
parce,parce
mai,mai
centre,centre
presse,presse
cause,cause
avril,avril
dernier,dernières
partir,partir
grâce,grâce
mise,mise
eau,eau
chose,chose
faire,font
entreprise,entreprises
journée,journée
nouveau,nouvelles
besoin,besoin
souvent,souvent
femme,femme
état,état
aller,vont
dernier,derniers
mon,ma
mal,mal
secteur,secteur
vraiment,vraiment
loi,loi
ministère,ministère
pouvoir,puis
enquête,enquête
aller,aller
système,système
exemple,exemple
permettre,permet
but,but
directeur,directeur
entreprise,entreprise
communiqué,communiqué
loin,loin
important,important
petit,petit
comme,Comme
nom,nom
seul,seul
passer,passer
aide,aide
lui,elles
par,Par
tard,tard
troisième,troisième
mesure,mesures
mesure,mesure
force,forces
plan,plan
tout,Tout
six,six
prochain,prochain
quelque,quelque
manière,manière
homme,hommes
août,août
alors,Alors
choix,choix
long,long
hausse,hausse
durer,durant
conseil,Conseil
autour,autour
sein,sein
maison,maison
rencontre,rencontre
national,national
plutôt,plutôt
victoire,victoire
nouveau,nouveaux
venir,vient
sembler,semble
risque,risque
donner,donné
aucun,aucun
ensemble,ensemble
son,Son
pandémie,pandémie
milliard,milliards
vous,Vous
ensuite,ensuite
scène,scène
produit,produits
population,population
accord,accord
campagne,campagne
celui,celle
taux,taux
avoir,ayant
devoir,doivent
vue,vue
environ,environ
donner,donner
développement,développement
assez,assez
mort,mort
objectif,objectif
trouver,trouver
moi,moi
nuit,nuit
terrain,terrain
juste,juste
décider,décidé
avoir,ai
toutefois,toutefois
jouer,jouer
heure,heure
dollar,dollars
direction,direction
permettre,permis
façon,façon
etat,Etat
programme,programme
route,route
production,production
rôle,rôle
minute,minutes
départ,départ
maintenant,maintenant
rendre,rendre
feu,feu
rue,rue
appel,appel
difficile,difficile
énergie,énergie
club,club
chose,choses
travers,travers
nombreux,nombreuses
terme,terme
russe,russes
succès,succès
passer,passé
social,sociaux
devoir,dû
formation,formation
action,action
gaz,gaz
jeu,jeux
sujet,sujet
connaître,connu
américain,américain
passer,passe
abord,abord
vidéo,vidéo
plus,Plus
grand,grands
rapidement,rapidement
premier,premiers
recevoir,reçu
armée,armée
quoi,quoi
public,publique
lancer,lancé
zone,zone
accès,accès
haut,haut
auprès,auprès
affaire,affaire
date,date
malgré,malgré
penser,pense
justice,justice
petit,petite
indique,indique
actuellement,actuellement
économique,économique
parti,parti
sortie,sortie
base,base
politique,politiques
européen,européenne
problème,problème
école,école
annonce,annonce
organisation,organisation
seul,seule
édition,édition
information,informations
activité,activités
majorité,majorité
condition,conditions
quand,Quand
total,total
macron,Macron
ordre,ordre
proposer,propose
lequel,laquelle
travail,travaux
militaire,militaire
habitant,habitants
être,étant
soutien,soutien
cela,Ça
aucun,aucune
charge,charge
joueur,joueur
parfois,parfois
votre,vos
réseau,réseaux
meilleur,meilleur
mon,mes
permettre,permettre
présence,présence
milieu,milieu
droit,droits
main,main
corps,corps
ni,ni
sens,sens
expérience,expérience
particulièrement,particulièrement
français,française
réseau,réseau
certain,certaines
affaire,affaires
maire,maire
différent,différents
époque,époque
venir,venir
argent,argent
victime,victimes
coupe,Coupe
conseil,conseil
savoir,sait
trouver,trouve
affirmer,affirmé
œuvre,œuvre
même,Même
préciser,précise
donne,donne
finalement,finalement
porte,porte
plein,plein
territoire,territoire
fort,fort
responsable,responsable
peine,peine
gauche,gauche
qualité,qualité
pourtant,pourtant
père,père
donnée,données
média,médias
voiture,voiture
forme,forme
parler,parler
fait,faits
projet,projets
droite,droite
arme,armes
mondial,mondiale
carrière,carrière
république,République
train,train
contrôle,contrôle
recherche,recherche
événement,événement
gros,gros
finale,finale
défense,défense
estime,estime
personnel,personnel
dix,dix
lorsque,lorsque
victime,victime
davantage,davantage
course,course
éviter,éviter
force,force
prendre,prend
marque,marque
ainsi,Ainsi
presque,presque
matière,matière
demander,demandé
voix,voix
doute,doute
résultat,résultats
réussir,réussi
expliquer,expliqué
retrouver,retrouver
avoir,avez
équipe,équipes
premier,Premier
avenir,avenir
simple,simple
communauté,communauté
dossier,dossier
créer,créer
opération,opération
préciser,précisé
capitale,capitale
longtemps,longtemps
âge,âge
parent,parents
présent,présent
français,Français
international,international
er,er
prochain,prochaine
économie,économie
hôpital,hôpital
tôt,tôt
perdre,perdu
sept,sept
grand,grandes
prévoir,prévu
parmi,parmi
international,internationale
général,générale
question,questions
aider,aider
travailler,travailler
genre,genre
mère,mère
source,source
prison,prison
rester,rester
visite,visite
citoyen,citoyens
image,image
tribunal,tribunal
manque,manque
derrière,derrière
position,position
comment,comment
cœur,cœur
bel,belle
soirée,soirée
commencer,commencé
ville,Ville
augmentation,augmentation
inflation,inflation
information,information
quartier,quartier
atteindre,atteint
ajouter,ajouté
soit,soit
pourquoi,pourquoi
lutte,lutte
mission,mission
élection,élections
ouverture,ouverture
sûr,sûr
poste,poste
quant,quant
Deux,Deux
vite,vite
réalité,réalité
aux,aux
client,clients
souligner,souligné
propre,propre
activité,activité
obtenir,obtenir
premier,premières
problème,problèmes
rendre,rendu
moyen,moyens
vivre,vivre
intérêt,intérêt
être,soient
idée,idée
militaire,militaires
sortir,sortir
propos,propos
coup,coups
image,images
fille,fille
contexte,contexte
enfant,enfant
gestion,gestion
puisque,puisque
enfin,enfin
plupart,plupart
élève,élèves
fort,forte
liste,liste
appeler,appelé
sanction,sanctions
mouvement,mouvement
second,second
opposition,opposition
conflit,conflit
garde,garde
bout,bout
via,via
candidat,candidat
ukrainien,ukrainien
urgence,urgence
véhicule,véhicule
important,importante
écran,écran
arrivée,arrivée
prise,prise
voir,voit
association,association
long,longue
continuer,continue
baisse,baisse
mettre,met
compagnie,compagnie
retrouver,retrouve
football,football
changement,changement
écrire,écrit
tandis,tandis
cinéma,cinéma
passage,passage
policier,policiers
moyenne,moyenne
conférence,conférence
fonction,fonction
publier,publié
pouvoir,pourraient
contrat,contrat
kilomètre,km
mondial,mondial
espace,espace
tenir,tenu
mme,Mme
salle,salle
impact,impact
huit,huit
candidat,candidats
valeur,valeur
peuple,peuple
israël,Israël
atteindre,atteindre
fond,fond
vente,vente
commune,commune
social,sociale
devoir,devait
concerner,concernant
version,version
souligner,souligne
hiver,hiver
étude,étude
création,création
fils,fils
oeil,yeux
pied,pied
famille,familles
but,buts
simplement,simplement
protection,protection
offrir,offre
construction,construction
véhicule,véhicules
plusieurs,Plusieurs
match,matchs
pouvoir,pourra
devenir,devenir
invasion,invasion
responsable,responsables
réponse,réponse
fédéral,fédéral
administration,administration
chacun,chacun
centre,Centre
décès,décès
entrée,entrée
américain,américaine
voie,voie
liberté,liberté
confiance,confiance
avoir,ait
son,Sa
continuer,continuer
réunion,réunion
party,parties
lors,Lors
bien,Bien
groupe,groupes
paix,paix
malgré,Malgré
origine,origine
utiliser,utiliser
solution,solution
récemment,récemment
sans,Sans
certain,certain
chance,chance
accident,accident
vote,vote
présenter,présenté
cependant,cependant
ville,villes
affirmer,affirme
or,Or
musique,musique
mètre,mètres
carte,carte
réaliser,réalisé
quotidien,quotidien
mode,mode
de,Du
particulier,particulier
meilleur,meilleure
ukraine,Ukraine
sanitaire,sanitaire
capacité,capacité
acteur,acteurs
procès,procès
bord,bord
objet,objet
of,of
jouer,joué
assurer,assure
électricité,électricité
nord,nord
livre,livre
lequel,lequel
combat,combat
réduire,réduire
film,films
pouvoir,pourront
bilan,bilan
petit,petits
devoir,devraient
région,régions
fonds,fonds
comprendre,comprendre
trouver,trouvé
élection,élection
processus,processus
grand,Grand
vrai,vrai
record,record
faire,faisant
stade,stade
moyen,moyen
absence,absence
poursuivre,poursuit
The,The
revenir,revenir
gagner,gagner
découvrir,découvrir
culture,culture
village,village
répondre,répondre
être,fut
public,publics
millier,milliers
message,message
social,social
compter,compter
local,locaux
profiter,profiter
étape,étape
consommation,consommation
proche,proches
exister,existe
car,Car
environnement,environnement
modèle,modèle
avant,Avant
achat,achat
souhaiter,souhaite
bureau,bureau
tout,Tous
sud,sud
attaque,attaque
proche,proche
fil,fil
pouvoir,pouvez
remporter,remporté
compris,compris
transition,transition
arriver,arrive
bas,bas
chiffre,chiffres
parmi,Parmi
air,air
outre,outre
lui,Elles
principal,principal
personnage,personnage
sommet,sommet
pas,Pas
relation,relations
nécessaire,nécessaire
laisser,laisser
suivre,suivre
intérieur,intérieur
chemin,chemin
neuf,neuf
soldat,soldats
pression,pression
résultat,résultat
étudiant,étudiants
événement,événements
type,type
voyage,voyage
élément,éléments
assurer,assuré
action,actions
second,seconde
véritable,véritable
tel,tel
volonté,volonté
mort,morts
accuser,accusé
possibilité,possibilité
province,province
mandat,mandat
budget,budget
député,député
spectacle,spectacle
raison,raisons
sport,sport
hier,hier
partout,partout
rappeler,rappelle
chaîne,chaîne
certain,Certains
falloir,faudra
croissance,croissance
circulation,circulation
juge,juge
parcours,parcours
membre,membre
ami,amis
discours,discours
application,application
notre,Notre
ce,Cet
parc,parc
nucléaire,nucléaire
changer,changer
terre,terre
beau,beau
maladie,maladie
numérique,numérique
étude,études
marquer,marqué
unique,unique
conséquence,conséquences
soin,soins
texte,texte
parquet,parquet
payer,payer
obtenir,obtenu
faire,fera
disponible,disponible
soutenir,soutenir
débat,débat
européen,européen
avoir,auront
confirmer,confirmé
lancer,lancer
ukrainien,ukrainienne
personnage,personnages
rouge,rouge
engagement,engagement
directement,directement
populaire,populaire
zone,zones
historique,historique
note,note
enfin,Enfin
régime,régime
domicile,domicile
sorte,sorte
avis,avis
compétition,compétition
industrie,industrie
ajouté,ajouté
domaine,domaine
augmenter,augmenter
signer,signé
devenir,devenu
belge,belge
nouveau,nouvel
cérémonie,cérémonie
président,Président
journaliste,journaliste
avance,avance
judiciaire,judiciaire
effort,efforts
kilomètre,kilomètres
initiative,initiative
double,double
preuve,preuve
étranger,étrangères
évidemment,évidemment
britannique,britannique
différent,différentes
agence,agence
stratégie,stratégie
pouvoir,pouvait
arrêt,arrêt
transport,transport
représenter,représente
reprise,reprises
camp,camp
ancien,ancienne
devenir,devient
secrétaire,secrétaire
hors,hors
nature,nature
revanche,revanche
dirigeant,dirigeants
largement,largement
assemblée,Assemblée
participer,participer
cour,Cour
quatrième,quatrième
présente,présente
concerner,concerne
moitié,moitié
rappel,rappel
incendie,incendie
département,département
violence,violence
emploi,emploi
utilisation,utilisation
attendre,attendre
lieu,lieux
peur,peur
vouloir,veulent
central,centrale
acteur,acteur
passé,passé
élu,élus
classement,classement
porter,porter
vitesse,vitesse
c,C
couple,couple
affaire,Affaires
faire,faisait
durée,durée
large,large
agent,agents
estimer,estimé
intervention,intervention
travailleur,travailleurs
esprit,esprit
tournoi,tournoi
pompier,pompiers
meilleur,meilleurs
parti,partis
ministre,ministres
quel,quel
veille,veille
endroit,endroit
cependant,Cependant
mer,mer
coût,coût
énergétique,énergétique
avoir,auraient
climatique,climatique
lien,lien
choisir,choisi
m,M
côté,côtés
extrême,extrême
arrêter,arrêté
tenir,tient
attention,attention
complètement,complètement
besoin,besoins
joue,joue
protéger,protéger
opération,opérations
offrir,offrir
auteur,auteur
prochain,prochaines
mot,mots
demander,demander
présenter,présenter
port,port
artiste,artiste
bâtiment,bâtiment
comité,comité
montant,montant
plaisir,plaisir
faveur,faveur
phase,phase
aller,allait
revenir,revient
bon,bonnes
tel,telle
communication,communication
numéro,numéro
réaliser,réaliser
développer,développer
professionnel,professionnels
vol,vol
partenaire,partenaires
poursuivre,poursuivre
sol,sol
pleine,pleine
artiste,artistes
fan,fans
assurer,assurer
règle,règles
technique,technique
chiffre,chiffre
face,Face
être,êtes
festival,festival
célèbre,célèbre
député,députés
instant,instant
centaine,centaines
quitter,quitter
frais,frais
vague,vague
siècle,siècle
économique,économiques
être,seraient
effet,effets
importance,importance
école,écoles
commission,commission
fête,fête
porter,porté
devoir,devra
viser,visant
main,mains
totalement,totalement
arriver,arriver
ajoute,ajoute
électrique,électrique
croire,croire
devoir,devoir
tendance,tendance
président,présidente
prêt,prêt
que,Que
marche,marche
puissance,puissance
hauteur,hauteur
dès,Dès
or,or
ressource,ressources
participation,participation
population,populations
expert,experts
surprise,surprise
actuel,actuel
commune,communes
rester,restent
lumière,lumière
créer,créé
vouloir,voulu
commerce,commerce
tenir,tenir
employé,employés
aventure,aventure
permettre,permettant
arriver,arrivée
avocat,avocat
porte,portes
pouvoir,puisse
actuel,actuelle
retrouver,retrouvé
espoir,espoir
retraite,retraite
journaliste,journalistes
parler,parle
table,table
supplémentaire,supplémentaires
même,mêmes
entraîneur,entraîneur
pétrole,pétrole
améliorer,améliorer
terme,termes
voire,voire
difficulté,difficultés
lendemain,lendemain
aller,vais
renforcer,renforcer
venir,viennent
pendant,Pendant
voiture,voitures
plateform,plateforme
article,article
probablement,probablement
émission,émission
solution,solutions
classe,classe
champion,champion
propriétaire,propriétaire
frontière,frontière
présent,présents
photo,photo
négociation,négociations
leader,leader
quant,Quant
arriver,arrivé
mot,mot
libre,libre
terminer,terminé
rang,rang
approche,approche
court,court
importer,importe
pratique,pratique
ouvrir,ouvert
commun,commun
violence,violences
appeler,appelle
championnat,championnat
évolution,évolution
patient,patients
situer,situé
virus,virus
physique,physique
condamner,condamné
produire,produit
rejoindre,rejoindre
régulièrement,régulièrement
noir,noir
marine,Marine
ukrainien,ukrainiens
technologie,technologie
commission,Commission
présidentiel,présidentielle
vision,vision
risque,risques
analyse,analyse
attaque,attaques
bientôt,bientôt
commencer,commencer
connaître,connaît
courant,courant
téléphone,téléphone
valeur,valeurs
traitement,traitement
extérieur,extérieur
vacance,vacances
produit,produit
prochain,prochains
reconnaître,reconnu
connaître,connaître
génération,génération
laisser,laissé
dizaine,dizaines
important,importants
art,art
élevé,élevé
laisse,laisse
financement,financement
pen,Pen
lancement,lancement
respect,respect
déclaration,déclaration
à,A
haute,haute
investissement,investissement
chaque,Chaque
aller,allons
honneur,honneur
civil,civile
nécessaire,nécessaires
proposer,proposer
tenter,tenter
recours,recours
vouloir,vouloir
étranger,étranger
montrer,montrer
menace,menace
suivre,suivi
capable,capable
tu,tu
entendre,entendre
hommage,hommage
proposition,proposition
défi,défi
exposition,exposition
clairement,clairement
télévision,télévision
défaite,défaite
travailler,travaille
proposer,proposé
entendre,entendu
augmenter,augmenté
issue,issue
réduction,réduction
sortir,sorti
rapide,rapide
collaboration,collaboration
futur,futur
entretien,entretien
établissement,établissement
mettre,mise
aéroport,aéroport
racont,raconte
acte,acte
sélection,sélection
langue,langue
parlement,Parlement
secours,secours
accueillir,accueillir
île,île
uniquement,uniquement
permettre,permettra
final,final
bon,bons
devoir,devons
humain,humains
organiser,organisé
état,États
organisation,organisations
patron,patron
dialogue,dialogue
source,sources
sanitaire,sanitaires
montrer,montré
plainte,plainte
exercice,exercice
site,sites
civil,civils
clair,clair
ensembl,ensemble
pourtant,Pourtant
été,été
chercher,chercher
envers,envers
siège,siège
réforme,réforme
perdre,perdre
faible,faible
responsabilité,responsabilité
objectif,objectifs
directrice,directrice
référence,référence
prévoir,prévue
accueil,accueil
vouloir,veux
avion,avion
reprendre,reprendre
marché,marchés
éducation,éducation
savoir,sais
journal,journal
maximum,maximum
répondre,répondu
tellement,tellement
apprendre,appris
officiel,officielle
jeu,Jeux
petit,petites
défendre,défendre
financier,financière
contraire,contraire
proximité,proximité
tir,tirs
secteur,secteurs
géant,géant
printemps,printemps
coût,coûts
danger,danger
cour,cour
troupe,troupes
remettre,remis
européen,européens
entier,entier
local,locale
vaccination,vaccination
banque,banque
enregistrer,enregistré
discussion,discussions
pouvoir,peux
celui,celles
contact,contact
apporter,apporter
réfugié,réfugiés
intention,intention
blessé,blessés
son,Ses
seconde,secondes
finir,fini
test,test
banque,Banque
performance,performance
couleur,couleurs
recevoir,recevoir
poids,poids
facile,facile
utiliser,utilisé
critique,critique
fortement,fortement
Trois,Trois
d,d
suisse,suisse
disponible,disponibles
bras,bras
scolaire,scolaire
rendre,rend
faute,faute
arrière,arrière
grave,grave
animal,animaux
heureux,heureux
phénomène,phénomène
fille,filles
participant,participants
tour,Tour
pièce,pièce
pénurie,pénurie
venir,venu
principalement,principalement
reprise,reprise
rue,rues
million,million
espérer,espère
hôtel,hôtel
toucher,touché
comprendre,comprend
chef,chefs
comment,Comment
d,D
photo,photos
trafic,trafic
conseiller,conseiller
impossible,impossible
moment,moments
chute,chute
identité,identité
offre,offre
bois,bois
représentant,représentants
taille,taille
perte,perte
gardien,gardien
cher,cher
tiers,tiers
scénario,scénario
minute,minute
vouloir,voulait
audience,audience
test,tests
fédération,Fédération
épisode,épisode
signe,signe
entendre,entend
logement,logement
décision,décisions
tir,tir
promotion,promotion
vent,vent
rencontre,rencontres
ouvrir,ouvrir
ferme,ferme
poursuivre,poursuivi
manifestation,manifestation
dispositif,dispositif
prévoit,prévoit
salle,salles
toutefois,Toutefois
refuser,refusé
ouvert,ouvert
penser,penser
lire,lire
oui,oui
devoir,devront
pire,pire
rythme,rythme
barre,barre
salaire,salaires
acheter,acheter
extrêmement,extrêmement
russe,Russes
âgé,âgé
climat,climat
immédiatement,immédiatement
statut,statut
place,places
défense,Défense
pièce,pièces
frère,frère
mener,mené
série,séries
vol,vols
théâtre,théâtre
changer,changé
établissement,établissements
ancien,anciens
regard,regard
garder,garder
entrer,Entre
rêve,rêve
facilement,facilement
partenariat,partenariat
vente,ventes
utilisateur,utilisateurs
reprendre,repris
coalition,coalition
principe,principe
séance,séance
quart,quart
rappeler,rappeler
donc,Donc
gagner,gagné
participer,participé
intérêt,intérêts
livre,livres
score,score
disposition,disposition
somme,somme
quitter,quitté
technique,techniques
officiellement,officiellement
venir,venus
démocratie,démocratie
alerte,alerte
internet,internet
public,publiques
parole,parole
cité,cité
page,page
Van,Van
franc,francs
entraînement,entraînement
visiteur,visiteurs
relation,relation
mon,Mon
entrer,entrer
manifestant,manifestants
tenter,tenté
impression,impression
propre,propres
exécutif,exécutif
frontière,frontières
construire,construire
tuer,tué
ligne,lignes
combat,combats
préparer,préparer
blesser,blessé
candidat,candidate
présidence,présidence
coopération,coopération
promettre,promis
devenir,devenue
professeur,professeur
financier,financier
gamme,gamme
dizaine,dizaine
efficace,efficace
principal,principale
compte,comptes
placer,placé
infrastructure,infrastructures
mener,mener
titre,titres
procédure,procédure
servir,servir
manifestation,manifestations
critique,critiques
chambre,chambre
américain,américains
maintenir,maintenir
médecin,médecin
attendre,attendu
positif,positif
retard,retard
m,m
niveau,niveaux
mémoire,mémoire
chaleur,chaleur
vivre,vécu
circuit,circuit
alimentaire,alimentaire
commencer,commence
rappeler,rappelé
conclure,conclu
échange,échanges
dénoncer,dénoncé
distance,distance
collectif,collectif
sentiment,sentiment
changement,changements
seul,seuls
logement,logements
précédent,précédent
contenu,contenu
usage,usage
sang,sang
agression,agression
ajouter,ajouter
solidarité,solidarité
essentiel,essentiel
croire,crois
mauvais,mauvais
réalisateur,réalisateur
priver,privé
univers,univers
différence,différence
tel,tels
local,locales
tomber,tomber
remettre,remettre
anglais,anglais
température,températures
principal,principaux
concours,concours
défi,défis
matériel,matériel
officiel,officiel
détail,détails
ami,ami
lier,liés
voir,vit
prêt,prêts
consommateur,consommateurs
important,importantes
militant,militants
nation,Nations
ouvrir,ouverte
université,Université
étranger,étrangers
héros,héros
direct,direct
blanc,blanc
restriction,restrictions
vingtaine,vingtaine
procureur,procureur
fermeture,fermeture
envie,envie
grève,grève
reine,reine
effectuer,effectué
amour,amour
situer,située
ouest,ouest
nécessité,nécessité
investissement,investissements
unité,unité
programme,programmes
capitaine,capitaine
studio,studio
régional,régional
roi,roi
transport,transports
colère,colère
commettre,commis
demeure,demeure
coronavirus,coronavirus
supplémentaire,supplémentaire
lier,liées
majeur,majeur
nord,Nord
représentant,représentant
tente,tente
élu,élu
pratique,pratiques
blessure,blessures
non,Non
moindre,moindre
ton,ton
tentative,tentative
profit,profit
revenu,revenus
préparation,préparation
regarder,regarder
total,totale
faux,faux
apprendre,apprendre
passer,passant
maison,maisons
détention,détention
visage,visage
falloir,fallait
charger,chargé
vigueur,vigueur
oublier,oublier
offensive,offensive
avantage,avantage
grâce,Grâce
exploitation,exploitation
quelque,Quelques
drame,drame
structure,structure
montre,montre
pouvoir,pourrez
sort,sort
tourner,tourner
chambre,Chambre
institution,institution
découvrir,découvert
cinquième,cinquième
multiple,multiples
faire,faite
médecin,médecins
classique,classique
provoquer,provoqué
pouvoir,Puis
université,université
pouvoir,pouvons
carte,cartes
noter,noter
local,local
planète,planète
circonstance,circonstances
mauvais,mauvaise
parce,Parce
épreuve,épreuve
balle,balle
champion,champions
évoquer,évoqué
erreur,erreur
soleil,soleil
durable,durable
montr,montre
trimestre,trimestre
découverte,découverte
émission,émissions
ciel,ciel
rentrée,rentrée
travailler,travaillé
lutter,lutter
habitude,habitude
performance,performances
savoir,su
pointe,pointe
ambiance,ambiance
ukrainien,ukrainiennes
jeunesse,jeunesse
rencontrer,rencontré
vélo,vélo
immense,immense
déplacement,déplacement
confirmer,confirme
professionnel,professionnel
candidature,candidature
exprimer,exprimé
pose,pose
association,associations
potentiel,potentiel
signifier,signifie
choisir,choisir
défenseur,défenseur
centre,centres
nice,Nice
posséder,possède
supérieur,supérieur
néanmoins,néanmoins
limite,limite
rare,rare
résidence,résidence
lettre,lettre
quel,quelle
difficile,difficiles
divers,divers
obligation,obligation
examen,examen
priorité,priorité
certainement,certainement
inscrire,inscrit
final,finale
appel,appels
marge,marge
dégât,dégâts
subir,subi
demain,demain
surveillance,surveillance
spectateur,spectateurs
sujet,sujets
catégorie,catégorie
gérer,gérer
frappe,frappe
tirer,tirer
arme,arme
chantier,chantier
municipal,municipal
thème,thème
énorme,énorme
choc,choc
anniversaire,anniversaire
institution,institutions
poser,poser
prendre,prises
surface,surface
réel,réel
échec,échec
modèle,modèles
patrimoine,patrimoine
ukrainien,Ukrainiens
permettre,permettent
offrir,offert
objet,objets
suspect,suspect
allemand,allemand
produire,produire
égalité,égalité
immeuble,immeuble
arrêter,arrêter
électrique,électriques
publication,publication
idée,idées
épisode,épisodes
sauver,sauver
concert,concert
échelle,échelle
soutenir,soutenu
capacité,capacités
mener,menée
monter,monter
cabinet,cabinet
passer,passée
organiser,organisée
confier,confie
saga,saga
santé,Santé
partir,parti
mobilisation,mobilisation
grave,graves
décéder,décédé
porter,portant
agir,agir
meurtre,meurtre
indépendance,indépendance
chinois,chinois
bataille,bataille
dos,dos
club,clubs
demande,demandes
voisin,voisins
égard,égard
attendre,attend
organiser,organiser
concept,concept
minimum,minimum
meilleur,meilleures
continent,continent
tonne,tonnes
avocat,avocats
présidentielle,présidentielle
vingt,vingt
bus,bus
association,Association
délégation,délégation
électeur,électeurs
usine,usine
attente,attente
société,sociétés
menace,menaces
mairie,mairie
ong,ONG
acte,actes
dépense,dépenses
envoyer,envoyé
fédéral,fédérale
tension,tensions
me,Me
poste,postes
fonctionnement,fonctionnement
confier,confié
rencontrer,rencontrer
naturel,naturel
retrait,retrait
entièrement,entièrement
option,option
fuite,fuite
dossier,dossiers
incident,incident
décennie,décennies
bâtiment,bâtiments
foule,foule
révéler,révélé
accéder,accéder
dévoiler,dévoilé
l,l
international,internationales
humain,humain
électoral,électorale
constater,constaté
juger,jugé
démarche,démarche
supporter,supporters
son,Leur
entreprendre,entreprise
dur,dur
enseignant,enseignants
complexe,complexe
organisateur,organisateurs
vaccin,vaccin
propriétaire,propriétaires
centaine,centaine
qui,Qui
machine,machine
ampleur,ampleur
station,station
organisme,organisme
lancer,lancée
collègue,collègues
exception,exception
scientifique,scientifique
déterminer,déterminer
masque,masque
qualifier,qualifié
recherche,recherches
échange,échange
client,client
appui,appui
code,code
document,documents
destination,destination
dynamique,dynamique
auteur,auteurs
neige,neige
prendre,prennent
eau,eaux
